ID	ID.num	File.Name	Visual.Object	ObsID	Exposure.ks	Target	RA	Dec
1	04600	acisf04600_repro_evt2_500-8000eV_t1.txt	0	4600	11.04	SNR G16.85-1.05	18 25 27.00	-14 48 38.00
2	05341	acisf05341_repro_evt2_500-8000eV_t1.txt	0	5341	17.96	SNR G16.85-1.05	18 25 27.00	-14 48 38.00
3	09077	acisf09077_repro_evt2_500-8000eV_t1.txt	0	9077	10.04	J0940-5428	09 40 58.20	-54 28 40.60
4	09078	acisf09078_repro_evt2_500-8000eV_t1.txt	1	9078	9.91	J1531-5610	15 31 27.9	-56 10 55.00
5	09079	acisf09079_repro_evt2_500-8000eV_t1.txt	0	9079	9.91	J1718-3825	17 18 13.50	-38 25 18.00
6	09080	acisf09080_repro_evt2_500-8000eV_t1.txt	1	9080	9.92	J1730-3350	17 30 23.50	-33 50 39.40
7	09081	acisf09081_repro_evt2_500-8000eV_t1.txt	0	9081	9.92	J1928+1746	19 28 42.40	+17 42 27.00
8	09082	acisf09082_repro_evt2_500-8000eV_t1.txt	0	9082	10	J1835-1106	18 35 18.20	-11 06 15.10
9	09083	acisf09083_repro_evt2_500-8000eV_t1.txt	0	9083	9.65	J1702-4310	17 02 26.90	-43 10 40.00
10	09084	acisf09084_repro_evt2_500-8000eV_t1.txt	0	9084	10.01	J1841-0345	18 41 38.60	-03 48 42.60
11	10711	acisf10711_repro_evt2_500-8000eV_t1.txt	0	10711	9.91	G289.7-0.3	11 01 15.00	-60 18 00.00
12	10712	acisf10712_repro_evt2_500-8000eV_t1.txt	0	10712	9.91	G46.8-0.3	19 19 05.22	+12 09 30.10
13	10713	acisf10713_repro_evt2_500-8000eV_t1.txt	0	10713	9.91	G9.95-0.81	18 10 41.10	-20 43 33.50
14	11831	acisf11831_repro_evt2_500-8000eV_t1.txt	1	11831	9.93	0FGL J1018.2-5858	10 18 47.64	-58 54 48.23
15	11832	acisf11832_repro_evt2_500-8000eV_t1.txt	0	11832	9.92	0FGL J1844.1-0335	18 14 15.62	-03 28 01.65
16	11833	acisf11833_repro_evt2_500-8000eV_t1.txt	0	11833	10.05	0FGL J1430.5-5918	14 30 35.00	-59 20 18.90
17	11834	acisf11834_repro_evt2_500-8000eV_t1.txt	1	11834	9.92	0FGL J1413.1-6203	14 13 10.00	-62 03 47.00
18	11835	acisf11835_repro_evt2_500-8000eV_t1.txt	1	11835	9.92	0FGL J1821.4-1444	18 21 35.92	-14 35 48.78
19	11836	acisf11836_repro_evt2_500-8000eV_t1.txt	0	11836	10.03	0FGL J1648.1-4606	16 48 34.59	-46 07 10.92
20	11837	acisf11837_repro_evt2_500-8000eV_t1.txt	1	11837	9.92	0FGL J1741.4-3046	17 40 52.33	-30 44 09.98
21	12148	acisf12148_repro_evt2_500-8000eV_t1.txt	0	12148	9.84	1FGL J1954.3-2836	19 54 18.00	+28 37 00.00
22	12149	acisf12149_repro_evt2_500-8000eV_t1.txt	0	12149	9.92	PSR J1958+2846	19 58 47.00	+28 46 03.00
23	12150	acisf12150_repro_evt2_500-8000eV_t1.txt	1	12150	9.93	PSR J1028-5819	10 28 40.00	-58 17 31.00
24	12151	acisf12151_repro_evt2_500-8000eV_t1.txt	1	12151	9.93	PSR J1022-5746	10 23 03.00	-57 46 07.00
25	12152	acisf12152_repro_evt2_500-8000eV_t1.txt	0	12152	9.92	HESS J1848-018	10 48 32.00	-01 59 21
26	13285	acisf13285_repro_evt2_500-8000eV_t1.txt	0	13285	9.84	1FGL J1311.7-3249	13 11 45.40	-34 30 28.80
27	13286	acisf13286_repro_evt2_500-8000eV_t1.txt	0	13286	9.94	PSR J2238+59	22 38 11.30	+58 59 53.20
28	13287	acisf13287_repro_evt2_500-8000eV_t1.txt	0	13287	10.04	HESS J1626-490	16 27 03.00	-49 12 32.70
29	13288	acisf13288_repro_evt2_500-8000eV_t1.txt	0	13288	9.84	PSR J1459-60	14 59 29.90	-60 53 16.00
30	13289	acisf13289_repro_evt2_500-8000eV_t1.txt	0	13289	9.22	PSR J0248+6021	02 48 18.60	+60 21 34.00
31	13290	acisf13290_repro_evt2_500-8000eV_t1.txt	0	13290	9.84	PSR J1731-1847	17 31 17.60	-18 47 32.70
32	15360	acisf15360_repro_evt2_500-8000eV_t1.txt	0	15360	9.93	HESS J1843-033A	18 43 15.80	-03 15 51.80
33	15361	acisf15361_repro_evt2_500-8000eV_t1.txt	0	15361	9.94	PSR J1044-5737	10 44 32.80	-57 37 19.30
34	15362	acisf15362_repro_evt2_500-8000eV_t1.txt	0	15362	9.94	PSR J1231-1411	12 31 11.30	-14 11 43.60
35	15363	acisf15363_repro_evt2_500-8000eV_t1.txt	1	15363	9.64	PSR J0101-6422	01 01 11.10	-64 22 30.10
36	15364	acisf15364_repro_evt2_500-8000eV_t1.txt	0	16364	9.65	PSR B1919+21	19 21 44.80	+21 53 02.20
37	15365	acisf15365_repro_evt2_500-8000eV_t1.txt	0	15365	10.92	HESS J1843-033B	18 43 21.70	-03 31 45.10
38	15366	acisf15366_repro_evt2_500-8000eV_t1.txt	0	15366	9.94	PSR J2043+1711	20 43 20.90	+17 11 28.00
								
								
